id,device,timestamp,HIGH_ACTIVITY_INTERVALS,LOW_ACTIVITY_INTERVALS,TOTAL_INTERVALS
e772b029-be8b-44db-ac54-7822741cdc6b-10,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336638998,5,2,15
e772b029-be8b-44db-ac54-7822741cdc6b-15,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336639118,1,2,15
e772b029-be8b-44db-ac54-7822741cdc6b-19,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336639238,0,0,15
e772b029-be8b-44db-ac54-7822741cdc6b-23,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336639358,11,2,15
e772b029-be8b-44db-ac54-7822741cdc6b-28,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336639685,0,0,4
e772b029-be8b-44db-ac54-7822741cdc6b-32,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336639863,1,0,3
e772b029-be8b-44db-ac54-7822741cdc6b-35,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336639984,4,0,5
e772b029-be8b-44db-ac54-7822741cdc6b-38,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336640285,3,0,4
e772b029-be8b-44db-ac54-7822741cdc6b-41,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336640483,0,0,4
e772b029-be8b-44db-ac54-7822741cdc6b-47,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336640592,0,0,15
e772b029-be8b-44db-ac54-7822741cdc6b-49,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336640712,0,0,15
e772b029-be8b-44db-ac54-7822741cdc6b-53,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336640832,0,1,15
e772b029-be8b-44db-ac54-7822741cdc6b-57,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336640952,0,0,15
e772b029-be8b-44db-ac54-7822741cdc6b-60,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336641072,0,0,15
e772b029-be8b-44db-ac54-7822741cdc6b-65,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336641192,0,0,15
e772b029-be8b-44db-ac54-7822741cdc6b-68,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336641312,0,0,15
e772b029-be8b-44db-ac54-7822741cdc6b-71,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336641432,5,3,15
e772b029-be8b-44db-ac54-7822741cdc6b-75,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336641552,10,1,15
e772b029-be8b-44db-ac54-7822741cdc6b-78,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336641672,5,3,15
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-7,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336645392,4,3,15
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-11,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336645512,0,0,15
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-14,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336645632,0,0,15
db6e78c3-8b15-46d9-9c61-b1e427fdeacf-18,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336645752,2,1,15
