id,device,timestamp,name,value
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-81,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008987397,incorrect,escape.yellow:16266
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-82,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008987459,born,lilac
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-83,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008989876,incorrect,escape.orange:15895
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-84,8bd235a5-9097-4617-a8de-eb669b4638c2,1337008989969,born,orange
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-85,8bd235a5-9097-4617-a8de-eb669b4638c2,1337009001890,incorrect,escape.lilac:14317
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-86,8bd235a5-9097-4617-a8de-eb669b4638c2,1337009001969,born,orange
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-87,8bd235a5-9097-4617-a8de-eb669b4638c2,1337009005424,incorrect,escape.orange:15433
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-88,8bd235a5-9097-4617-a8de-eb669b4638c2,1337009005503,born,yellow
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-89,8bd235a5-9097-4617-a8de-eb669b4638c2,1337009017837,incorrect,escape.orange:15844
f1bf02e1-42a6-41af-8ac3-63917fa19bc5-90,8bd235a5-9097-4617-a8de-eb669b4638c2,1337009017860,born,black
be086414-4518-46d5-b534-4736c601af5d-59,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011581112,status,resume
be086414-4518-46d5-b534-4736c601af5d-60,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011581207,startColor,n6
be086414-4518-46d5-b534-4736c601af5d-61,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011592191,correct,black:10958
be086414-4518-46d5-b534-4736c601af5d-62,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011592842,correct,lilac:11609
be086414-4518-46d5-b534-4736c601af5d-63,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011592970,born,yellow
be086414-4518-46d5-b534-4736c601af5d-64,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011593454,incorrect,click.orange:15303
be086414-4518-46d5-b534-4736c601af5d-65,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011593832,born,yellow
be086414-4518-46d5-b534-4736c601af5d-66,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011594407,correct,yellow:825
be086414-4518-46d5-b534-4736c601af5d-67,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011594886,born,yellow
be086414-4518-46d5-b534-4736c601af5d-68,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011597458,incorrect,click.orange:12728
be086414-4518-46d5-b534-4736c601af5d-69,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011597858,correct,yellow:3335
be086414-4518-46d5-b534-4736c601af5d-70,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011597869,colorchange,n0
be086414-4518-46d5-b534-4736c601af5d-71,8bd235a5-9097-4617-a8de-eb669b4638c2,1337011598124,born,yellow
