id,device,timestamp,filename,index,type,value
441114f2-1b53-4785-aff4-a62926549df4-348,245c9670-e8b1-441d-bda6-eb8761f51729,1337014128,/mnt/external1/edu.mit.media.funf.bgcollector/00000013_038892044460f597_tb-1337012251-038892044460f597.txt,13,fileCopy,
441114f2-1b53-4785-aff4-a62926549df4-349,245c9670-e8b1-441d-bda6-eb8761f51729,1337014128,/mnt/external1/edu.mit.media.funf.bgcollector/00000014_038892044460f597_245c9670-e8b1-441d-bda6-eb8761f51729_1337012253_mainPipeline.db,14,fileCopy,
441114f2-1b53-4785-aff4-a62926549df4-350,245c9670-e8b1-441d-bda6-eb8761f51729,1337014128,/mnt/external1/edu.mit.media.funf.bgcollector/00000015_038892044460f597_photo-1337012847.jpg,15,fileCopy,
441114f2-1b53-4785-aff4-a62926549df4-351,245c9670-e8b1-441d-bda6-eb8761f51729,1337014128,/mnt/external1/edu.mit.media.funf.bgcollector/00000016_038892044460f597_photo-1337013447.jpg,16,fileCopy,
441114f2-1b53-4785-aff4-a62926549df4-352,245c9670-e8b1-441d-bda6-eb8761f51729,1337014128,/mnt/external1/edu.mit.media.funf.bgcollector/00000017_038892044460f597_photo-1337014047.jpg,17,fileCopy,
46053c19-540c-4bfc-ae8a-f9f474e1aec8-1,245c9670-e8b1-441d-bda6-eb8761f51729,1337014128,,,,"{""type"":""log"", ""msg"":""moved files automatically"""
6d2c7045-138d-4251-871e-f4e6700bdd10-73,245c9670-e8b1-441d-bda6-eb8761f51729,1337017728,/mnt/external1/edu.mit.media.funf.bgcollector/00000018_038892044460f597_tb-1337014128-038892044460f597.txt,18,fileCopy,
6d2c7045-138d-4251-871e-f4e6700bdd10-74,245c9670-e8b1-441d-bda6-eb8761f51729,1337017728,/mnt/external1/edu.mit.media.funf.bgcollector/00000019_038892044460f597_245c9670-e8b1-441d-bda6-eb8761f51729_1337014132_mainPipeline.db,19,fileCopy,
6d2c7045-138d-4251-871e-f4e6700bdd10-75,245c9670-e8b1-441d-bda6-eb8761f51729,1337017728,/mnt/external1/edu.mit.media.funf.bgcollector/00000020_038892044460f597_photo-1337014647.jpg,20,fileCopy,
6d2c7045-138d-4251-871e-f4e6700bdd10-76,245c9670-e8b1-441d-bda6-eb8761f51729,1337017728,/mnt/external1/edu.mit.media.funf.bgcollector/00000021_038892044460f597_245c9670-e8b1-441d-bda6-eb8761f51729_1337014859_mainPipeline.db,21,fileCopy,
6d2c7045-138d-4251-871e-f4e6700bdd10-77,245c9670-e8b1-441d-bda6-eb8761f51729,1337017728,/mnt/external1/edu.mit.media.funf.bgcollector/00000022_038892044460f597_245c9670-e8b1-441d-bda6-eb8761f51729_1337014860_mainPipeline.db,22,fileCopy,
